transect_id,coverage
1,26
2,32
3,21
4,21
5,26
6,23
7,15
8,18
9,24
10,23
11,27
12,12
13,12
14,13
15,26
16,29
17,25
18,19
19,9
20,20
21,29
22,27
23,17
24,27
25,29
26,25
27,25
28,13
29,22
30,19
31,25
32,22
33,19
34,26
35,23
36,22
37,37
38,20
39,15
40,32
41,22
42,14
43,22
44,14
45,29
46,21
47,18
48,27
49,12
50,21
51,10
52,23
53,22
54,20
55,23
56,19
57,25
58,18
59,17
60,18
61,21
62,33
63,24
64,14
65,12
66,21
67,22
68,13
69,15
70,27
71,18
72,17
73,20
74,16
75,18
76,17
77,16
78,15
79,11
80,34
81,19
82,12
83,13
84,21
85,18
86,28
87,13
88,18
89,20
90,18
91,22
92,22
93,17
94,22
95,20
96,14
97,23
98,30
99,33
100,24
